пре16.века	Средљи век	Постојање средњевековног града Човка, Старо село
16.век	Пад Босне под Османлијско царство	Петровац 1524, Бихаћ 1592.
1650	Османлије запоседају Лику	
1683-1699 	Аустрисјко Турски рат завршен Карловачким миром (Уна граница)	Аустрија повратила скоро целу Лику (сем Д.Лапца)
почетак 17. века	зулум у Босни и Крајини / исељавање у Лику и Славонију	
почетак 18.в / 1712	насељавање Лике, Граничари из Крајине	
1739	Београдски мир	Уна поново граница
1750-1780	Калајски рат	
1791	Пад Доњег Лапца (под Аустрију) Свиштовски мир	Довело до пресељења седишта Островичке Капетаније на Пркосе
1840	"прва (црквена) школа у Крајини
(у Хргару код Бихаћа -учитељ Адам)"	Пркошки парох Никола Зорић ученик
1858	Дољанска буна	Народ није могао да трпи незавидан и неравноправан положај и сталне зулуме.
1868	Проглашење "двоглаве" Аустроугарске монархије	
1869	Сaферска наредба	Већа права за Србе, скупштинa у Цариграду за православне народе, слобода у изградњи цркви
1875. - 1878.	"Устанак у Крајини 
Србија ушла у рат против Турске  1876
као и Русија 1877"	Устанак који је букнуо у Херцеговини, Невесињска пушка, и проширио се на Крајину и целу Босну
1878	Берлински конгрес	уследила окупација Босне и Херцеговине (формално Босна остала под Турском)
1908	Анкесија Босне и Херцеговине	Аустроугарска је прогласила анексију Босне.
1914-1918	Први светски (Велики отаџбински) рат	Нису остварене тежње српског народа у потпуности, основна Краљевина Срба, Хрвата и Словенаца (Југославија). Србија изгубила више од четвртине становништва.
1917	Крфска декларација	обећање владе о додели земље добровољцима
1918 - 1928	Колинизација добровољаца	добровољачко право укинуто 1928.
1941-1945	Други светски рат	огромне жртве 
1945-1948	Колонизација у Војводину	Једна од највећих сеоба српског народа.
